date,year,quarter,month,month_name,day,day_of_week,weekday_name,is_weekday,week_of_year
2012-10-02,2012,4,10,October,2,1,Tuesday,1,40
2012-10-03,2012,4,10,October,3,2,Wednesday,1,40
2012-10-04,2012,4,10,October,4,3,Thursday,1,40
2012-10-05,2012,4,10,October,5,4,Friday,1,40
2012-10-06,2012,4,10,October,6,5,Saturday,0,40
2012-10-07,2012,4,10,October,7,6,Sunday,0,40
2012-10-08,2012,4,10,October,8,0,Monday,1,41
2012-10-09,2012,4,10,October,9,1,Tuesday,1,41
2012-10-10,2012,4,10,October,10,2,Wednesday,1,41
2012-10-11,2012,4,10,October,11,3,Thursday,1,41
2012-10-12,2012,4,10,October,12,4,Friday,1,41
2012-10-13,2012,4,10,October,13,5,Saturday,0,41
2012-10-14,2012,4,10,October,14,6,Sunday,0,41
2012-10-15,2012,4,10,October,15,0,Monday,1,42
2012-10-16,2012,4,10,October,16,1,Tuesday,1,42
2012-10-17,2012,4,10,October,17,2,Wednesday,1,42
2012-10-18,2012,4,10,October,18,3,Thursday,1,42
2012-10-19,2012,4,10,October,19,4,Friday,1,42
2012-10-20,2012,4,10,October,20,5,Saturday,0,42
2012-10-21,2012,4,10,October,21,6,Sunday,0,42
2012-10-22,2012,4,10,October,22,0,Monday,1,43
2012-10-23,2012,4,10,October,23,1,Tuesday,1,43
2012-10-24,2012,4,10,October,24,2,Wednesday,1,43
2012-10-25,2012,4,10,October,25,3,Thursday,1,43
2012-10-26,2012,4,10,October,26,4,Friday,1,43
2012-10-27,2012,4,10,October,27,5,Saturday,0,43
2012-10-28,2012,4,10,October,28,6,Sunday,0,43
2012-10-29,2012,4,10,October,29,0,Monday,1,44
2012-10-30,2012,4,10,October,30,1,Tuesday,1,44
2012-10-31,2012,4,10,October,31,2,Wednesday,1,44
2012-11-01,2012,4,11,November,1,3,Thursday,1,44
2012-11-02,2012,4,11,November,2,4,Friday,1,44
2012-11-03,2012,4,11,November,3,5,Saturday,0,44
2012-11-04,2012,4,11,November,4,6,Sunday,0,44
2012-11-05,2012,4,11,November,5,0,Monday,1,45
2012-11-06,2012,4,11,November,6,1,Tuesday,1,45
2012-11-07,2012,4,11,November,7,2,Wednesday,1,45
2012-11-08,2012,4,11,November,8,3,Thursday,1,45
2012-11-09,2012,4,11,November,9,4,Friday,1,45
2012-11-10,2012,4,11,November,10,5,Saturday,0,45
2012-11-11,2012,4,11,November,11,6,Sunday,0,45
2012-11-12,2012,4,11,November,12,0,Monday,1,46
2012-11-13,2012,4,11,November,13,1,Tuesday,1,46
2012-11-14,2012,4,11,November,14,2,Wednesday,1,46
2012-11-15,2012,4,11,November,15,3,Thursday,1,46
2012-11-16,2012,4,11,November,16,4,Friday,1,46
2012-11-17,2012,4,11,November,17,5,Saturday,0,46
2012-11-18,2012,4,11,November,18,6,Sunday,0,46
2012-11-19,2012,4,11,November,19,0,Monday,1,47
2012-11-20,2012,4,11,November,20,1,Tuesday,1,47
2012-11-21,2012,4,11,November,21,2,Wednesday,1,47
2012-11-22,2012,4,11,November,22,3,Thursday,1,47
2012-11-23,2012,4,11,November,23,4,Friday,1,47
2012-11-24,2012,4,11,November,24,5,Saturday,0,47
2012-11-25,2012,4,11,November,25,6,Sunday,0,47
2012-11-26,2012,4,11,November,26,0,Monday,1,48
2012-11-27,2012,4,11,November,27,1,Tuesday,1,48
2012-11-28,2012,4,11,November,28,2,Wednesday,1,48
2012-11-29,2012,4,11,November,29,3,Thursday,1,48
2012-11-30,2012,4,11,November,30,4,Friday,1,48
2012-12-01,2012,4,12,December,1,5,Saturday,0,48
2012-12-02,2012,4,12,December,2,6,Sunday,0,48
2012-12-03,2012,4,12,December,3,0,Monday,1,49
2012-12-04,2012,4,12,December,4,1,Tuesday,1,49
2012-12-05,2012,4,12,December,5,2,Wednesday,1,49
2012-12-06,2012,4,12,December,6,3,Thursday,1,49
2012-12-07,2012,4,12,December,7,4,Friday,1,49
2012-12-08,2012,4,12,December,8,5,Saturday,0,49
2012-12-09,2012,4,12,December,9,6,Sunday,0,49
2012-12-10,2012,4,12,December,10,0,Monday,1,50
2012-12-11,2012,4,12,December,11,1,Tuesday,1,50
2012-12-12,2012,4,12,December,12,2,Wednesday,1,50
2012-12-13,2012,4,12,December,13,3,Thursday,1,50
2012-12-14,2012,4,12,December,14,4,Friday,1,50
2012-12-15,2012,4,12,December,15,5,Saturday,0,50
2012-12-16,2012,4,12,December,16,6,Sunday,0,50
2012-12-17,2012,4,12,December,17,0,Monday,1,51
2012-12-18,2012,4,12,December,18,1,Tuesday,1,51
2012-12-19,2012,4,12,December,19,2,Wednesday,1,51
2012-12-20,2012,4,12,December,20,3,Thursday,1,51
2012-12-21,2012,4,12,December,21,4,Friday,1,51
2012-12-22,2012,4,12,December,22,5,Saturday,0,51
2012-12-23,2012,4,12,December,23,6,Sunday,0,51
2012-12-24,2012,4,12,December,24,0,Monday,1,52
2012-12-25,2012,4,12,December,25,1,Tuesday,1,52
2012-12-26,2012,4,12,December,26,2,Wednesday,1,52
2012-12-27,2012,4,12,December,27,3,Thursday,1,52
2012-12-28,2012,4,12,December,28,4,Friday,1,52
2012-12-29,2012,4,12,December,29,5,Saturday,0,52
2012-12-30,2012,4,12,December,30,6,Sunday,0,52
2012-12-31,2012,4,12,December,31,0,Monday,1,1
2013-01-01,2013,1,1,January,1,1,Tuesday,1,1
2013-01-02,2013,1,1,January,2,2,Wednesday,1,1
2013-01-03,2013,1,1,January,3,3,Thursday,1,1
2013-01-04,2013,1,1,January,4,4,Friday,1,1
2013-01-05,2013,1,1,January,5,5,Saturday,0,1
2013-01-06,2013,1,1,January,6,6,Sunday,0,1
2013-01-07,2013,1,1,January,7,0,Monday,1,2
2013-01-08,2013,1,1,January,8,1,Tuesday,1,2
2013-01-09,2013,1,1,January,9,2,Wednesday,1,2
2013-01-10,2013,1,1,January,10,3,Thursday,1,2
2013-01-11,2013,1,1,January,11,4,Friday,1,2
2013-01-12,2013,1,1,January,12,5,Saturday,0,2
2013-01-13,2013,1,1,January,13,6,Sunday,0,2
2013-01-14,2013,1,1,January,14,0,Monday,1,3
2013-01-15,2013,1,1,January,15,1,Tuesday,1,3
2013-01-16,2013,1,1,January,16,2,Wednesday,1,3
2013-01-17,2013,1,1,January,17,3,Thursday,1,3
2013-01-18,2013,1,1,January,18,4,Friday,1,3
2013-01-19,2013,1,1,January,19,5,Saturday,0,3
2013-01-20,2013,1,1,January,20,6,Sunday,0,3
2013-01-21,2013,1,1,January,21,0,Monday,1,4
2013-01-22,2013,1,1,January,22,1,Tuesday,1,4
2013-01-23,2013,1,1,January,23,2,Wednesday,1,4
2013-01-24,2013,1,1,January,24,3,Thursday,1,4
2013-01-25,2013,1,1,January,25,4,Friday,1,4
2013-01-26,2013,1,1,January,26,5,Saturday,0,4
2013-01-27,2013,1,1,January,27,6,Sunday,0,4
2013-01-28,2013,1,1,January,28,0,Monday,1,5
2013-01-29,2013,1,1,January,29,1,Tuesday,1,5
2013-01-30,2013,1,1,January,30,2,Wednesday,1,5
2013-01-31,2013,1,1,January,31,3,Thursday,1,5
2013-02-01,2013,1,2,February,1,4,Friday,1,5
2013-02-02,2013,1,2,February,2,5,Saturday,0,5
2013-02-03,2013,1,2,February,3,6,Sunday,0,5
2013-02-04,2013,1,2,February,4,0,Monday,1,6
2013-02-05,2013,1,2,February,5,1,Tuesday,1,6
2013-02-06,2013,1,2,February,6,2,Wednesday,1,6
2013-02-07,2013,1,2,February,7,3,Thursday,1,6
2013-02-08,2013,1,2,February,8,4,Friday,1,6
2013-02-09,2013,1,2,February,9,5,Saturday,0,6
2013-02-10,2013,1,2,February,10,6,Sunday,0,6
2013-02-11,2013,1,2,February,11,0,Monday,1,7
2013-02-12,2013,1,2,February,12,1,Tuesday,1,7
2013-02-13,2013,1,2,February,13,2,Wednesday,1,7
2013-02-14,2013,1,2,February,14,3,Thursday,1,7
2013-02-15,2013,1,2,February,15,4,Friday,1,7
2013-02-16,2013,1,2,February,16,5,Saturday,0,7
2013-02-17,2013,1,2,February,17,6,Sunday,0,7
