hour,time_label,time_of_day_period,is_rush_hour
0,00:00,Overnight Low,0
1,01:00,Overnight Low,0
2,02:00,Overnight Low,0
3,03:00,Overnight Low,0
4,04:00,Overnight Low,0
5,05:00,Overnight Low,0
6,06:00,Overnight Low,0
7,07:00,Morning Rush,1
8,08:00,Morning Rush,1
9,09:00,Morning Rush,1
10,10:00,Midday Off-Peak,0
11,11:00,Midday Off-Peak,0
12,12:00,Midday Off-Peak,0
13,13:00,Midday Off-Peak,0
14,14:00,Midday Off-Peak,0
15,15:00,Midday Off-Peak,0
16,16:00,Midday Off-Peak,0
17,17:00,Evening Rush,1
18,18:00,Evening Rush,1
19,19:00,Evening Rush,1
20,20:00,Late Evening,0
21,21:00,Late Evening,0
22,22:00,Late Evening,0
23,23:00,Late Evening,0
