date,year,month,month_name,day,weekday,weekday_name,is_weekday,total_traffic_volume,avg_traffic_volume,min_traffic_volume,max_traffic_volume,record_count
2012-10-02,2012,10,Oct,2,1,Tuesday,1,63289,4219.27,963,6015,15
2012-10-03,2012,10,Oct,3,2,Wednesday,1,66345,3317.25,273,6511,20
2012-10-04,2012,10,Oct,4,3,Thursday,1,89939,3747.46,312,6990,24
2012-10-05,2012,10,Oct,5,4,Friday,1,93336,4242.55,368,6628,22
2012-10-06,2012,10,Oct,6,5,Saturday,0,74910,3256.96,411,5669,23
2012-10-07,2012,10,Oct,7,6,Sunday,0,67290,3058.64,312,6640,22
2012-10-08,2012,10,Oct,8,0,Monday,1,82135,3422.29,265,6676,24
2012-10-09,2012,10,Oct,9,1,Tuesday,1,86717,3770.3,251,6449,23
2012-10-10,2012,10,Oct,10,2,Wednesday,1,98252,4093.83,261,6793,24
2012-10-11,2012,10,Oct,11,3,Thursday,1,74325,3911.84,347,6798,19
2012-10-12,2012,10,Oct,12,4,Friday,1,80516,4025.8,331,6992,20
2012-10-13,2012,10,Oct,13,5,Saturday,0,70500,2937.5,399,4623,24
2012-10-14,2012,10,Oct,14,6,Sunday,0,105532,2852.22,262,4358,37
2012-10-15,2012,10,Oct,15,0,Monday,1,89400,3192.86,239,6798,28
2012-10-16,2012,10,Oct,16,1,Tuesday,1,89471,3727.96,257,7055,24
2012-10-17,2012,10,Oct,17,2,Wednesday,1,91414,3656.56,267,6723,25
2012-10-18,2012,10,Oct,18,3,Thursday,1,88380,3682.5,301,6441,24
2012-10-19,2012,10,Oct,19,4,Friday,1,133146,3414.0,353,5849,39
2012-10-20,2012,10,Oct,20,5,Saturday,0,131124,2731.75,401,5125,48
2012-10-21,2012,10,Oct,21,6,Sunday,0,16800,2400.0,959,4695,7
2012-10-22,2012,10,Oct,22,0,Monday,1,64530,3072.86,259,6101,21
2012-10-23,2012,10,Oct,23,1,Tuesday,1,84902,3537.58,253,6094,24
2012-10-24,2012,10,Oct,24,2,Wednesday,1,196654,4013.35,261,5855,49
2012-10-25,2012,10,Oct,25,3,Thursday,1,188892,4197.6,272,6488,45
2012-10-26,2012,10,Oct,26,4,Friday,1,189583,3510.8,326,6499,54
2012-10-27,2012,10,Oct,27,5,Saturday,0,73567,3065.29,411,6012,24
2012-10-28,2012,10,Oct,28,6,Sunday,0,56486,2353.58,330,4521,24
2012-10-29,2012,10,Oct,29,0,Monday,1,84458,3519.08,270,6642,24
2012-10-30,2012,10,Oct,30,1,Tuesday,1,88196,3674.83,298,6728,24
2012-10-31,2012,10,Oct,31,2,Wednesday,1,86737,3614.04,265,6908,24
2012-11-01,2012,11,Nov,1,3,Thursday,1,90283,3761.79,324,6852,24
2012-11-02,2012,11,Nov,2,4,Friday,1,91305,3804.38,331,6509,24
2012-11-03,2012,11,Nov,3,5,Saturday,0,67443,2810.12,343,4833,24
2012-11-04,2012,11,Nov,4,6,Sunday,0,58234,2329.36,223,4200,25
2012-11-05,2012,11,Nov,5,0,Monday,1,77167,3507.59,304,6877,22
2012-11-06,2012,11,Nov,6,1,Tuesday,1,98248,3169.29,256,6201,31
2012-11-07,2012,11,Nov,7,2,Wednesday,1,152875,3555.23,474,7088,43
2012-11-08,2012,11,Nov,8,3,Thursday,1,90705,3779.38,286,6834,24
2012-11-09,2012,11,Nov,9,4,Friday,1,93127,3880.29,340,6880,24
2012-11-10,2012,11,Nov,10,5,Saturday,0,67384,2807.67,371,4762,24
2012-11-11,2012,11,Nov,11,6,Sunday,0,101193,1909.3,304,4169,53
2012-11-12,2012,11,Nov,12,0,Monday,1,74086,2963.44,263,5390,25
2012-11-13,2012,11,Nov,13,1,Tuesday,1,93197,3727.88,290,6529,25
2012-11-14,2012,11,Nov,14,2,Wednesday,1,95604,3983.5,252,7189,24
2012-11-15,2012,11,Nov,15,3,Thursday,1,88701,3856.57,294,6761,23
2012-11-16,2012,11,Nov,16,4,Friday,1,90657,3777.38,332,6517,24
2012-11-17,2012,11,Nov,17,5,Saturday,0,63916,2778.96,404,4753,23
2012-11-18,2012,11,Nov,18,6,Sunday,0,55934,2330.58,293,4368,24
2012-11-19,2012,11,Nov,19,0,Monday,1,84382,3515.92,268,6831,24
2012-11-20,2012,11,Nov,20,1,Tuesday,1,89479,3728.29,254,6824,24
2012-11-21,2012,11,Nov,21,2,Wednesday,1,124163,4005.26,269,6138,31
2012-11-22,2012,11,Nov,22,3,Thursday,1,47386,1974.42,252,3461,24
2012-11-23,2012,11,Nov,23,4,Friday,1,85336,2585.94,341,4231,33
2012-11-24,2012,11,Nov,24,5,Saturday,0,53954,2345.83,299,4494,23
2012-11-25,2012,11,Nov,25,6,Sunday,0,54139,2353.87,271,4880,23
2012-11-26,2012,11,Nov,26,0,Monday,1,76540,3327.83,258,6752,23
2012-11-27,2012,11,Nov,27,1,Tuesday,1,85147,3547.79,247,6768,24
2012-11-28,2012,11,Nov,28,2,Wednesday,1,85818,3575.75,245,6995,24
2012-11-29,2012,11,Nov,29,3,Thursday,1,87058,3785.13,279,7020,23
2012-11-30,2012,11,Nov,30,4,Friday,1,87308,3796.0,340,6749,23
2012-12-01,2012,12,Dec,1,5,Saturday,0,121619,3378.31,384,5231,36
2012-12-02,2012,12,Dec,2,6,Sunday,0,75663,2522.1,301,4329,30
