date_time,date,year,month,month_name,day,hour,weekday,weekday_name,is_weekday,is_rush,temp_celsius,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,volume_bucket
2012-10-02 09:00:00,2012-10-02,2012,10,Oct,2,9,1,Tuesday,1,1,15.13,288.28,0.0,0.0,40,Clouds,scattered clouds,5545,Heavy (>=5000)
2012-10-02 10:00:00,2012-10-02,2012,10,Oct,2,10,1,Tuesday,1,0,16.21,289.36,0.0,0.0,75,Clouds,broken clouds,4516,Moderate (2000-4999)
2012-10-02 11:00:00,2012-10-02,2012,10,Oct,2,11,1,Tuesday,1,0,16.43,289.58,0.0,0.0,90,Clouds,overcast clouds,4767,Moderate (2000-4999)
2012-10-02 12:00:00,2012-10-02,2012,10,Oct,2,12,1,Tuesday,1,0,16.98,290.13,0.0,0.0,90,Clouds,overcast clouds,5026,Heavy (>=5000)
2012-10-02 13:00:00,2012-10-02,2012,10,Oct,2,13,1,Tuesday,1,0,17.99,291.14,0.0,0.0,75,Clouds,broken clouds,4918,Moderate (2000-4999)
2012-10-02 14:00:00,2012-10-02,2012,10,Oct,2,14,1,Tuesday,1,0,18.57,291.72,0.0,0.0,1,Clear,sky is clear,5181,Heavy (>=5000)
2012-10-02 15:00:00,2012-10-02,2012,10,Oct,2,15,1,Tuesday,1,0,20.02,293.17,0.0,0.0,1,Clear,sky is clear,5584,Heavy (>=5000)
2012-10-02 16:00:00,2012-10-02,2012,10,Oct,2,16,1,Tuesday,1,0,20.71,293.86,0.0,0.0,1,Clear,sky is clear,6015,Heavy (>=5000)
2012-10-02 17:00:00,2012-10-02,2012,10,Oct,2,17,1,Tuesday,1,1,20.99,294.14,0.0,0.0,20,Clouds,few clouds,5791,Heavy (>=5000)
2012-10-02 18:00:00,2012-10-02,2012,10,Oct,2,18,1,Tuesday,1,1,19.95,293.1,0.0,0.0,20,Clouds,few clouds,4770,Moderate (2000-4999)
2012-10-02 19:00:00,2012-10-02,2012,10,Oct,2,19,1,Tuesday,1,1,17.82,290.97,0.0,0.0,20,Clouds,few clouds,3539,Moderate (2000-4999)
2012-10-02 20:00:00,2012-10-02,2012,10,Oct,2,20,1,Tuesday,1,0,16.23,289.38,0.0,0.0,1,Clear,sky is clear,2784,Moderate (2000-4999)
2012-10-02 21:00:00,2012-10-02,2012,10,Oct,2,21,1,Tuesday,1,0,15.46,288.61,0.0,0.0,1,Clear,sky is clear,2361,Moderate (2000-4999)
2012-10-02 22:00:00,2012-10-02,2012,10,Oct,2,22,1,Tuesday,1,0,14.01,287.16,0.0,0.0,1,Clear,sky is clear,1529,Low (<2000)
2012-10-02 23:00:00,2012-10-02,2012,10,Oct,2,23,1,Tuesday,1,0,12.3,285.45,0.0,0.0,1,Clear,sky is clear,963,Low (<2000)
2012-10-03 00:00:00,2012-10-03,2012,10,Oct,3,0,2,Wednesday,1,0,11.48,284.63,0.0,0.0,1,Clear,sky is clear,506,Low (<2000)
2012-10-03 01:00:00,2012-10-03,2012,10,Oct,3,1,2,Wednesday,1,0,10.32,283.47,0.0,0.0,1,Clear,sky is clear,321,Low (<2000)
2012-10-03 02:00:00,2012-10-03,2012,10,Oct,3,2,2,Wednesday,1,0,8.03,281.18,0.0,0.0,1,Clear,sky is clear,273,Low (<2000)
2012-10-03 03:00:00,2012-10-03,2012,10,Oct,3,3,2,Wednesday,1,0,7.94,281.09,0.0,0.0,1,Clear,sky is clear,367,Low (<2000)
2012-10-03 04:00:00,2012-10-03,2012,10,Oct,3,4,2,Wednesday,1,0,6.38,279.53,0.0,0.0,1,Clear,sky is clear,814,Low (<2000)
2012-10-03 05:00:00,2012-10-03,2012,10,Oct,3,5,2,Wednesday,1,0,5.47,278.62,0.0,0.0,1,Clear,sky is clear,2718,Moderate (2000-4999)
2012-10-03 06:00:00,2012-10-03,2012,10,Oct,3,6,2,Wednesday,1,0,5.08,278.23,0.0,0.0,1,Clear,sky is clear,5673,Heavy (>=5000)
2012-10-03 08:00:00,2012-10-03,2012,10,Oct,3,8,2,Wednesday,1,1,4.97,278.12,0.0,0.0,1,Clear,sky is clear,6511,Heavy (>=5000)
2012-10-03 09:00:00,2012-10-03,2012,10,Oct,3,9,2,Wednesday,1,1,9.33,282.48,0.0,0.0,1,Clear,sky is clear,5471,Heavy (>=5000)
2012-10-03 12:00:00,2012-10-03,2012,10,Oct,3,12,2,Wednesday,1,0,18.82,291.97,0.0,0.0,1,Clear,sky is clear,5097,Heavy (>=5000)
2012-10-03 13:00:00,2012-10-03,2012,10,Oct,3,13,2,Wednesday,1,0,20.08,293.23,0.0,0.0,1,Clear,sky is clear,4887,Moderate (2000-4999)
2012-10-03 14:00:00,2012-10-03,2012,10,Oct,3,14,2,Wednesday,1,0,21.16,294.31,0.0,0.0,1,Clear,sky is clear,5337,Heavy (>=5000)
2012-10-03 15:00:00,2012-10-03,2012,10,Oct,3,15,2,Wednesday,1,0,22.02,295.17,0.0,0.0,1,Clear,sky is clear,5692,Heavy (>=5000)
