year,month,year_month,month_name,avg_traffic_volume,total_traffic_volume,peak_hourly_volume,record_count
2012,10,2012-10,Oct,3486.74,2806826,7055,805
2012,11,2012-11,Nov,3198.43,2510769,7189,785
2012,12,2012-12,Dec,2983.67,2891172,7051,969
2013,1,2013-01,Jan,3153.65,2226480,6945,706
2013,2,2013-02,Feb,3163.22,2268026,7067,717
2013,3,2013-03,Mar,3178.2,2272416,6920,715
2013,4,2013-04,Apr,3299.19,3097942,7217,939
2013,5,2013-05,May,3406.63,3202233,7068,940
2013,6,2013-06,Jun,3372.33,2586575,6910,767
2013,7,2013-07,Jul,3397.07,2541007,7070,748
2013,8,2013-08,Aug,3565.54,2317599,7023,650
2013,9,2013-09,Sep,3292.04,1573595,6807,478
2013,10,2013-10,Oct,3580.42,1582547,7094,442
2013,11,2013-11,Nov,3299.59,1946761,7110,590
2013,12,2013-12,Dec,2908.32,2562231,6314,881
2014,1,2014-01,Jan,2930.08,2305972,6430,787
2014,2,2014-02,Feb,3059.72,2065313,6660,675
2014,3,2014-03,Mar,3283.59,2423289,6644,738
2014,4,2014-04,Apr,3316.22,2255029,6972,680
2014,5,2014-05,May,3429.09,2667831,7070,778
2014,6,2014-06,Jun,3246.41,1256362,6911,387
2014,7,2014-07,Jul,3433.31,2259115,7090,658
2014,8,2014-08,Aug,3664.54,498378,6886,136
2015,6,2015-06,Jun,3241.74,602963,6495,186
2015,7,2015-07,Jul,3197.29,2740079,6622,857
2015,8,2015-08,Aug,3313.88,2849936,6719,860
2015,9,2015-09,Sep,3340.7,2762761,6856,827
2015,10,2015-10,Oct,3316.0,1893434,6557,571
2015,11,2015-11,Nov,3108.34,1516871,6809,488
2015,12,2015-12,Dec,3107.17,1811483,6893,583
2016,1,2016-01,Jan,3119.5,1881061,6735,603
2016,2,2016-02,Feb,3235.98,1993362,7118,616
2016,3,2016-03,Mar,3327.47,2023100,7083,608
2016,4,2016-04,Apr,3475.43,2693462,7260,775
2016,5,2016-05,May,3330.71,2980987,7130,895
2016,6,2016-06,Jun,3512.58,2599308,6714,740
2016,7,2016-07,Jul,2786.31,2273630,6226,816
2016,8,2016-08,Aug,3149.54,2601519,6726,826
2016,9,2016-09,Sep,3136.09,2455558,6597,783
2016,10,2016-10,Oct,3165.48,2298138,6534,726
2016,11,2016-11,Nov,2935.2,2873565,6443,979
2016,12,2016-12,Dec,2998.84,2797918,6632,933
2017,1,2017-01,Jan,3021.32,3099879,6772,1026
2017,2,2017-02,Feb,3386.04,2417634,7154,714
2017,3,2017-03,Mar,3414.93,2953916,7280,865
2017,4,2017-04,Apr,3359.2,3234905,7065,963
2017,5,2017-05,May,3353.59,3192613,7126,952
2017,6,2017-06,Jun,3462.37,2811441,6747,812
2017,7,2017-07,Jul,3239.43,2753518,6827,850
2017,8,2017-08,Aug,3517.94,3377220,6997,960
2017,9,2017-09,Sep,3429.75,2757521,7117,804
2017,10,2017-10,Oct,3437.76,3190239,6985,928
2017,11,2017-11,Nov,3356.92,2826523,6923,842
2017,12,2017-12,Dec,3157.26,2778392,6757,880
2018,1,2018-01,Jan,3064.75,2709240,6838,884
2018,2,2018-02,Feb,3148.78,2531621,6902,804
2018,3,2018-03,Mar,3317.18,2875997,6988,867
2018,4,2018-04,Apr,3095.33,2791984,7213,902
2018,5,2018-05,May,3317.25,2889329,7074,871
2018,6,2018-06,Jun,3444.64,3010617,7037,874
2018,7,2018-07,Jul,3236.65,2802936,6668,866
2018,8,2018-08,Aug,3398.88,3215339,6837,946
2018,9,2018-09,Sep,3301.66,3083752,6728,934
