Segment Type,Segment Value,Sample Count (N),MAE,RMSE,Mean Bias Error,Bias Direction
Hour of Day,0,294,102.02,145.77,-37.66,Unbiased (Near Zero)
Hour of Day,1,308,65.43,103.26,-22.66,Unbiased (Near Zero)
Hour of Day,2,292,48.94,81.92,-16.93,Unbiased (Near Zero)
Hour of Day,3,310,27.75,44.17,-0.94,Unbiased (Near Zero)
Hour of Day,4,313,49.45,69.09,23.76,Unbiased (Near Zero)
Hour of Day,5,324,101.82,141.16,58.91,Underprediction (Actual > Pred)
Hour of Day,6,316,223.87,456.82,-38.78,Unbiased (Near Zero)
Hour of Day,7,322,347.56,619.77,5.81,Unbiased (Near Zero)
Hour of Day,8,312,330.33,566.27,-56.96,Overprediction (Pred > Actual)
Hour of Day,9,319,308.87,493.65,-8.36,Unbiased (Near Zero)
Hour of Day,10,312,275.38,481.0,-30.76,Unbiased (Near Zero)
Hour of Day,11,301,298.22,471.57,-40.26,Unbiased (Near Zero)
Hour of Day,12,289,271.02,440.32,10.68,Unbiased (Near Zero)
Hour of Day,13,290,280.03,494.51,-30.41,Unbiased (Near Zero)
Hour of Day,14,292,276.12,441.86,-44.15,Unbiased (Near Zero)
Hour of Day,15,289,326.97,531.87,-11.21,Unbiased (Near Zero)
Hour of Day,16,294,476.75,734.67,49.62,Unbiased (Near Zero)
Hour of Day,17,286,440.81,720.53,-109.34,Overprediction (Pred > Actual)
Hour of Day,18,297,322.26,510.42,-59.81,Overprediction (Pred > Actual)
Hour of Day,19,297,245.93,401.39,-15.66,Unbiased (Near Zero)
Hour of Day,20,294,264.24,423.24,-8.22,Unbiased (Near Zero)
Hour of Day,21,292,285.53,436.0,-64.4,Overprediction (Pred > Actual)
Hour of Day,22,292,301.36,455.89,-60.9,Overprediction (Pred > Actual)
Hour of Day,23,294,254.84,400.79,-19.63,Unbiased (Near Zero)
