date_val,record_count,avg_traffic_volume,total_traffic_volume,min_traffic_volume,max_traffic_volume
2012-10-02,15,4219.27,63289,963,6015
2012-10-03,20,3317.25,66345,273,6511
2012-10-04,24,3747.46,89939,312,6990
2012-10-05,22,4242.55,93336,368,6628
2012-10-06,23,3256.96,74910,411,5669
2012-10-07,22,3058.64,67290,312,6640
2012-10-08,24,3422.29,82135,265,6676
2012-10-09,23,3770.3,86717,251,6449
2012-10-10,24,4093.83,98252,261,6793
2012-10-11,19,3911.84,74325,347,6798
2012-10-12,20,4025.8,80516,331,6992
2012-10-13,24,2937.5,70500,399,4623
2012-10-14,37,2852.22,105532,262,4358
2012-10-15,28,3192.86,89400,239,6798
2012-10-16,24,3727.96,89471,257,7055
2012-10-17,25,3656.56,91414,267,6723
2012-10-18,24,3682.5,88380,301,6441
2012-10-19,39,3414.0,133146,353,5849
2012-10-20,48,2731.75,131124,401,5125
2012-10-21,7,2400.0,16800,959,4695
2012-10-22,21,3072.86,64530,259,6101
2012-10-23,24,3537.58,84902,253,6094
2012-10-24,49,4013.35,196654,261,5855
2012-10-25,45,4197.6,188892,272,6488
2012-10-26,54,3510.8,189583,326,6499
2012-10-27,24,3065.29,73567,411,6012
2012-10-28,24,2353.58,56486,330,4521
2012-10-29,24,3519.08,84458,270,6642
2012-10-30,24,3674.83,88196,298,6728
2012-10-31,24,3614.04,86737,265,6908
2012-11-01,24,3761.79,90283,324,6852
2012-11-02,24,3804.38,91305,331,6509
2012-11-03,24,2810.13,67443,343,4833
2012-11-04,25,2329.36,58234,223,4200
2012-11-05,22,3507.59,77167,304,6877
2012-11-06,31,3169.29,98248,256,6201
2012-11-07,43,3555.23,152875,474,7088
2012-11-08,24,3779.38,90705,286,6834
2012-11-09,24,3880.29,93127,340,6880
2012-11-10,24,2807.67,67384,371,4762
2012-11-11,53,1909.3,101193,304,4169
2012-11-12,25,2963.44,74086,263,5390
2012-11-13,25,3727.88,93197,290,6529
2012-11-14,24,3983.5,95604,252,7189
2012-11-15,23,3856.57,88701,294,6761
2012-11-16,24,3777.38,90657,332,6517
2012-11-17,23,2778.96,63916,404,4753
2012-11-18,24,2330.58,55934,293,4368
2012-11-19,24,3515.92,84382,268,6831
2012-11-20,24,3728.29,89479,254,6824
2012-11-21,31,4005.26,124163,269,6138
2012-11-22,24,1974.42,47386,252,3461
