hour,record_count,avg_traffic_volume,min_traffic_volume,max_traffic_volume
0,2036,834.98,6,3075
1,2047,516.34,2,1806
2,2019,388.35,3,1432
3,2025,371.09,1,930
4,2091,702.55,7,1334
5,2063,2094.57,208,3481
6,2087,4140.5,241,6386
7,2079,4740.18,190,7260
8,2080,4587.5,1,6888
9,2018,4385.28,1,6063
10,2076,4184.14,3,5422
11,1950,4465.57,24,6012
12,1954,4718.03,2,6470
13,1904,4714.65,10,6645
14,1969,4931.89,2,6589
15,1933,5240.46,3,6750
16,1988,5663.76,7,7280
17,1933,5310.08,5,6968
18,1983,4263.56,0,5773
19,1957,3275.21,1,4550
20,1979,2834.67,5,4490
21,1982,2668.94,2,4939
22,1994,2199.41,1,4816
23,2040,1469.14,0,4072
